Species,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Dusky Flycatcher,6,3,3,2,3,11,4,8,3,3,3,1,4,2,8,6,20,21,34,44,39,29,82,50,74,64,127,98,177,197,281,268,209,245,265,262,286,234,250,258,284,288,305,278,274,281,308,282
Dusky Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Dusky Grouse,0,2,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,2,1,1,5,9,10,1,8,10,6,3,4,11,9,9,1,1,4,5,4,3,4
Eared Grebe,2,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,2,0,0,12,13,0,8,28,22,17,16,24,6,14,28,2,43,9,13,9,25,5,12,6,40
Eared Grebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Eastern Bluebird,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,4,0,1,3,1,0,0,0,0,0,0,0,0
Eastern Kingbird,3,17,4,10,9,19,18,19,12,5,11,9,12,17,15,9,10,7,14,10,17,25,15,55,63,40,44,61,15,59,101,85,61,69,64,142,51,52,62,91,83,69,51,53,58,38,38,30
Eastern Meadowlark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Phoebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1
Eastern Screech-Owl,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurasian Collared-Dove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,24,70,100,104,157,168,191,329,360,376,435
European Starling,59,114,133,106,255,347,376,310,291,346,248,276,377,395,333,346,301,244,292,322,651,629,454,659,1019,1080,1560,1216,1387,1921,1779,2017,1454,1277,1514,2464,1324,1719,1612,1874,1758,1905,1714,1164,828,1348,1363,1475
Evening Grosbeak,0,3,0,0,0,0,6,6,8,6,8,0,9,10,0,0,1,0,38,37,133,18,4,4,3,34,40,45,33,23,27,13,16,14,4,13,3,6,19,8,70,23,84,61,18,17,64,45
Ferruginous Hawk,9,2,1,7,5,1,3,15,1,6,4,6,3,7,5,8,7,6,3,1,2,9,14,14,33,34,33,21,30,40,26,49,21,25,24,29,20,28,24,34,38,49,49,36,32,30,30,28
Field Sparrow,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
Flammulated Owl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Forster's Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,2,3,14,3,1,1,9,3,5,1,4,0,14,10,1,1,0,0,0,0,0
Fox Sparrow,1,0,0,2,1,0,2,1,3,3,0,0,1,1,0,7,15,15,8,5,11,15,20,11,36,36,43,40,56,65,75,73,64,65,58,64,66,35,61,43,50,42,42,57,43,43,45,49
Franklin's Gull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gadwall,4,2,7,0,0,2,9,5,4,2,0,4,0,2,0,4,3,7,5,2,23,34,13,13,28,58,26,85,63,54,65,93,164,68,125,92,89,88,131,108,107,101,133,73,46,34,60,88
Gambel's Quail,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,9,2,6,2,8,0,0,0,1,0,8,9,12,7,16,24,25
Golden Eagle,0,0,3,2,5,3,4,3,5,2,7,4,4,7,9,6,5,10,10,5,9,16,16,20,17,14,10,13,37,31,20,28,18,18,10,32,19,20,27,21,24,19,25,20,16,18,23,26
Golden Eagle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Golden-crowned Kinglet,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,8,3,4,3,10,16,8,9,12,9,16,18,28,19,22,24,34,22,21,28,8,13,13,22,10,5,7,17
Grace's Warbler,0,2,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,8,19,15,30,24,36,24,28,26,30,27,33,28,28,27,21,24,24,34
Grasshopper Sparrow,52,70,56,180,69,300,158,202,82,154,137,260,177,324,241,290,287,225,259,260,485,337,339,476,769,942,732,795,529,847,626,534,485,507,210,513,362,544,342,530,510,505,557,501,411,205,189,529
Grasshopper Sparrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
Gray Catbird,0,2,6,3,3,3,2,3,18,9,1,1,3,2,6,0,1,4,5,7,2,3,2,5,4,6,1,7,9,10,16,11,9,10,28,8,18,14,13,31,47,36,36,18,31,31,26,26
Gray Flycatcher,0,0,0,0,0,1,3,2,0,0,1,2,1,0,1,1,0,2,5,3,11,5,9,14,9,21,20,41,31,44,69,47,61,49,49,89,55,47,40,62,74,65,79,55,39,54,48,58
Gray Jay,2,1,0,4,1,0,2,2,3,2,4,2,6,1,3,4,1,8,3,0,2,11,9,2,45,11,22,34,31,21,36,42,44,18,40,19,47,50,27,31,38,33,30,67,26,20,23,20
Gray Vireo,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,3,0,2,0,0,0,2,3,2,5,1,6,5,8,11,13,16,7,2,5,7,7,6,6,6,5,6
Gray-crowned Rosy-Finch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Great Blue Heron,0,0,0,1,1,3,5,5,1,1,1,1,0,8,6,3,4,1,9,9,14,10,5,38,30,31,28,30,30,20,61,55,62,66,66,96,35,81,73,96,58,71,46,33,39,30,44,38
Great Crested Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Egret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,2,2,0,1,0
Great Egret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Horned Owl,4,3,1,0,4,3,5,2,0,7,4,2,3,15,12,9,16,7,17,8,16,22,16,22,37,25,26,18,24,26,30,24,19,27,11,31,19,21,27,28,24,18,48,32,19,14,29,37
Great-tailed Grackle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,12,0,7,1,4,3,2,0,0,1,8,14,52,15,17,18,51,6,44,30,24,61,52,99,73,51,72,34,36,24,98
Greater Prairie-Chicken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,47,12,58,1,7,0,0,0,7,5,5,1,6,4,0,0,0,2,2,13,7,14,16,29,19,0,7
Greater Roadrunner,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,5,1,0,5,1,5,1,2,0,0,2,4,1,0,6,1,1,0,1,2
Greater Sage-Grouse,0,0,0,0,30,4,0,3,6,2,5,8,7,1,6,0,0,3,2,14,4,2,21,1,8,2,2,4,0,0,16,0,18,8,17,0,1,2,7,0,0,0,10,7,91,3,9,20
Greater Scaup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Greater Yellowlegs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
Green-tailed Towhee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Green-tailed Towhee,29,60,90,59,81,86,57,126,84,170,114,118,105,117,250,123,132,125,248,238,390,287,332,274,601,587,724,640,831,913,950,996,838,753,732,789,848,915,826,845,781,835,949,904,735,713,939,1008
Green-winged Teal,0,5,0,6,0,2,1,1,10,1,1,12,6,3,4,0,7,5,3,5,18,21,11,22,17,20,30,30,45,22,94,60,40,30,60,45,43,34,60,41,24,7,23,12,13,9,30,18
Gunnison Sage-Grouse,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,7,3,0,0,1,2,16,8,0,0,0,1,18,5,3,7
Hairy Woodpecker,0,3,1,1,5,1,5,1,5,2,6,2,1,1,1,1,0,2,3,4,8,7,5,13,26,14,36,20,24,18,30,29,35,34,32,44,68,39,76,48,57,41,58,47,53,57,45,53
Hammond's Flycatcher,0,1,0,0,0,1,1,0,0,0,0,0,0,1,3,7,4,0,5,4,25,37,49,33,36,47,36,55,51,69,45,38,55,81,80,64,69,60,85,77,51,57,50,40,50,51,62,62
Hepatic Tanager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,0,0,1,0,0,0
Hermit Thrush,14,16,6,11,20,17,25,25,34,37,28,50,44,21,30,23,23,26,50,41,173,102,152,93,343,333,443,310,511,362,557,431,516,633,483,527,669,533,576,480,540,497,465,719,463,538,525,571
Hermit Thrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring Gull,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hooded Merganser,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hooded Merganser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
Horned Lark,938,1056,933,1217,1438,2678,3072,2945,1506,2217,2250,2791,2583,3232,3551,3183,3138,2412,2998,2470,3512,3956,4067,3839,8453,7288,6617,6649,5470,6495,5260,6125,5913,5138,5068,6580,6164,7201,7348,6465,7111,6512,6491,5457,5351,5076,5240,4906
House Finch,24,10,8,44,35,8,31,37,61,53,59,23,36,39,66,28,38,45,34,49,87,66,57,60,82,132,191,139,347,200,180,281,367,304,342,432,267,362,348,375,299,250,210,245,241,300,300,337
House Sparrow,460,687,604,569,679,694,717,565,456,440,431,577,462,559,921,629,433,449,429,460,873,1059,1271,1476,2290,1802,2191,1233,1394,1487,1240,1596,1697,1301,1294,1957,1802,1832,1845,1760,1296,1604,1593,1740,1359,1496,1560,1723
House Wren,11,51,36,32,59,62,94,104,65,46,53,53,45,32,64,65,44,69,101,94,178,125,135,163,419,410,540,419,500,640,572,647,424,460,562,567,560,594,499,518,551,563,583,500,386,405,531,595
hybrid Mallard x Black Duck or Mottled Duck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Indigo Bunting,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,0,1,0,1,2,0,3,0,0,1,2,0,1,1,1,1,1,7,2,4,8,17,1,0,0,3,2
Indigo Bunting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juniper Titmouse,0,0,0,3,10,0,3,0,1,4,5,1,3,5,2,2,7,1,1,4,8,20,4,17,19,14,10,13,11,5,25,16,20,11,21,24,17,23,12,17,11,24,28,19,17,17,22,36
Killdeer,22,58,75,94,155,119,190,198,143,140,144,144,176,169,229,191,140,183,165,218,292,277,220,376,451,498,539,484,449,427,455,533,436,361,367,471,342,402,445,467,319,354,395,295,242,234,249,309
Ladder-backed Woodpecker,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,1,3
Lark Bunting,841,1319,995,775,563,2302,920,1198,475,1488,1287,2080,1401,2268,1982,2427,1870,1134,1066,1076,3303,1935,1779,3492,4883,3327,4239,8525,2302,5067,2761,5326,2402,7228,874,5890,3968,3275,1613,4344,860,3091,2507,3125,2929,2145,2727,5575
Lark Bunting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lark Sparrow,19,24,10,36,43,50,56,87,81,53,56,88,80,88,149,41,68,72,116,143,242,336,585,290,514,657,544,502,512,374,373,462,605,632,509,536,622,570,733,660,489,466,444,494,544,447,503,516
Lazuli Bunting,4,1,0,5,17,15,22,31,23,42,28,26,23,29,38,18,22,35,36,47,35,29,58,36,131,67,132,121,138,113,157,138,124,100,72,83,39,70,69,96,95,94,115,113,60,98,68,152
Least Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Least Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Least Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lesser Goldfinch,0,4,0,2,5,4,6,4,18,4,30,22,19,17,6,11,17,16,9,24,16,13,24,88,38,21,41,38,48,36,84,49,103,74,113,99,47,76,87,179,118,119,89,82,97,111,114,162
Lesser Prairie-Chicken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lesser Scaup,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,17,20,70,59,46,60,16,20,23,73,48,49,58,28,20,28,63,53,71,32,12,55,63,29,39,61
Lewis's Woodpecker,1,4,0,3,4,2,5,0,1,2,2,5,6,1,4,2,5,0,2,0,0,6,7,0,9,21,19,5,23,13,20,19,17,18,10,11,12,9,14,23,11,5,9,4,10,16,17,7
Lincoln's Sparrow,9,23,9,11,7,8,16,10,9,9,1,3,10,6,11,2,9,9,51,20,112,49,95,81,268,149,195,222,278,252,329,384,365,386,400,330,357,313,352,362,439,459,453,398,458,312,391,443
Lincoln's Sparrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loggerhead Shrike,27,23,12,37,30,28,20,37,38,44,14,28,25,36,34,30,20,17,26,39,33,27,37,43,84,117,118,121,79,98,87,126,117,66,102,210,79,101,123,103,97,82,76,96,87,80,85,99
Long-billed Curlew,0,4,4,0,0,103,28,89,11,48,57,23,24,33,18,3,11,26,15,0,51,31,32,11,44,67,80,47,86,66,33,27,22,48,43,37,26,66,54,66,38,58,39,57,54,34,48,25
Long-billed Dowitcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Long-eared Owl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2
MacGillivray's Warbler,10,10,24,14,15,19,42,33,12,16,26,25,13,5,9,2,8,12,40,17,37,25,39,15,63,54,77,107,118,182,252,202,147,168,202,157,158,159,141,148,151,151,179,138,149,196,179,139
Mallard,7,23,62,57,20,100,62,64,63,73,100,48,82,23,71,87,100,99,86,113,264,355,155,180,221,422,357,370,334,395,518,466,457,395,607,444,386,333,530,399,319,303,383,311,273,278,304,277
Marsh Wren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,6,15,9,56,19,13,12,14,19,7,6,6,0,1,5,2,2,7,2,3,5,0,2,2
McCown's Longspur,0,1,0,5,19,16,29,12,6,5,11,14,4,10,9,3,9,5,8,9,10,15,33,19,40,94,241,194,114,223,77,89,117,73,131,88,114,213,83,124,155,109,113,138,225,207,126,226
Merlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mountain Bluebird,14,9,23,13,35,31,35,21,55,70,52,26,79,58,48,33,28,25,49,78,132,106,114,96,337,339,417,342,458,328,538,509,521,344,482,578,666,627,842,638,631,442,451,514,529,541,540,587
Mountain Chickadee,7,20,13,17,25,18,11,18,9,21,12,6,7,19,34,14,20,11,17,6,60,54,95,74,212,155,225,161,195,173,403,526,375,380,343,343,385,352,521,393,386,337,344,313,372,311,302,322
Mountain Plover,15,32,9,7,20,12,15,26,11,13,13,31,18,6,17,27,9,40,24,11,4,13,19,14,14,65,27,21,48,40,27,12,22,19,23,8,42,27,8,24,23,31,47,22,20,24,16,15
Mourning Dove,315,383,413,550,631,1213,1511,1609,1024,1592,1529,1390,1372,1661,1885,1559,1439,1255,1313,1103,1768,2006,1757,2043,2945,2874,3444,2764,3348,3736,3274,3748,3644,3442,3362,4458,3586,4020,4681,4668,4345,3875,3121,3396,2720,2961,2954,2848
Nashville Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
Northern Bobwhite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Northern Bobwhite,3,4,10,4,4,62,9,1,3,6,8,10,1,33,18,21,4,11,0,4,15,5,6,7,8,21,33,14,12,35,35,29,29,21,31,92,15,26,19,4,17,13,9,17,9,10,9,8
Northern Cardinal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Northern Goshawk,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,2,2,2,7,0,3,1,1,1,3,0,1,1,1,2,6,4,3,3
Northern Harrier,11,7,17,6,4,11,19,10,7,12,7,5,11,5,14,8,10,8,8,5,8,21,6,26,29,36,26,40,25,29,39,50,41,43,34,52,22,35,38,30,42,43,28,15,21,8,12,26
Northern Mockingbird,21,8,20,76,64,39,134,80,46,61,38,38,48,22,38,18,46,20,79,42,74,143,145,95,141,144,246,165,538,159,233,306,489,283,419,341,328,196,688,333,367,396,337,467,432,417,510,271
Northern Pintail,0,0,4,8,0,7,2,4,3,1,1,6,6,2,2,7,2,2,6,1,20,20,5,6,9,11,6,24,10,19,29,16,18,21,41,25,20,16,5,8,59,6,3,5,16,2,7,12
Northern Pintail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Pygmy-Owl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,1,1,0,0,0,1,2,1,1,0,1,2,0,0,1,2
Northern Rough-winged Swallow,10,15,9,24,38,26,22,16,24,42,29,35,13,12,68,52,12,13,34,45,83,88,121,373,93,104,79,106,141,137,188,272,141,88,199,133,104,148,173,91,136,101,120,88,60,84,65,60
Northern Saw-whet Owl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Northern Shoveler,0,0,2,1,1,4,0,1,1,7,0,1,6,0,0,2,0,0,0,3,4,16,0,3,1,3,5,28,20,16,27,17,16,9,13,9,12,5,15,38,25,33,2,2,57,15,16,58
Northern Shoveler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Shrike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olive-sided Flycatcher,1,20,7,14,11,7,4,14,8,8,6,2,5,9,5,5,9,5,15,12,40,27,39,35,78,75,83,74,76,101,86,109,79,73,83,70,92,90,71,80,63,76,76,55,65,68,61,64
Orange-crowned Warbler,1,0,0,0,3,6,6,13,0,2,1,0,0,0,6,2,7,7,11,14,29,15,17,19,34,31,62,74,80,103,134,134,118,127,147,123,119,108,97,106,121,126,124,99,102,94,120,94
Orange-crowned Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Orchard Oriole,0,0,3,0,0,4,2,2,4,2,0,2,0,3,3,2,3,2,1,4,2,4,4,5,3,13,8,13,6,11,22,10,23,13,15,23,29,14,26,19,27,20,22,27,34,30,34,13
Osprey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,1,4,1,3,1,3,1,2,3,5,2,3,8,3
Ovenbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Peregrine Falcon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,2,3,7,1,2,3,2,0,1,3,1
Pied-billed Grebe,0,1,0,0,0,1,3,0,1,0,0,1,3,0,0,0,1,1,0,0,2,3,2,3,1,3,5,0,6,7,16,7,14,5,5,3,2,14,18,20,16,10,19,2,4,4,8,3
Pine Grosbeak,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,14,11,18,4,30,27,31,25,61,27,38,32,30,22,19,19,55,31,53,69,33,23,33,36,35,16,29,38
Pine Siskin,43,44,18,20,53,58,96,98,121,79,125,118,115,108,118,162,67,113,79,46,285,225,114,534,1031,633,696,766,994,937,985,901,737,784,518,338,991,759,776,1093,1110,800,833,634,582,508,748,776
Pinyon Jay,1,3,0,18,36,6,16,16,72,13,42,18,15,12,72,58,20,9,1,60,149,92,72,88,101,123,55,427,148,139,393,259,527,272,262,266,303,119,166,227,100,157,192,102,128,128,154,87
Plumbeous Vireo,0,14,11,7,18,17,22,10,11,18,27,21,23,11,4,6,2,20,27,27,34,21,31,38,73,57,79,73,135,130,156,177,138,201,174,173,128,128,125,184,193,205,178,145,113,158,171,200
Prairie Falcon,0,0,0,0,0,2,2,3,0,0,1,2,2,5,1,2,1,0,1,2,1,3,5,3,6,3,4,4,6,8,11,14,12,9,11,19,2,7,13,9,8,8,15,14,10,6,11,12
Purple Martin,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,3,3,3,12,14,28,26,13,15,19,15,23,26,30,21,8,33,49,57,45,43,32,38
Pygmy Nuthatch,0,12,15,10,15,4,12,10,2,9,7,0,7,1,1,2,3,8,2,1,11,3,14,29,29,42,38,45,26,16,33,43,77,31,43,33,46,70,85,110,58,49,47,61,88,45,54,85
Red Crossbill,0,14,5,5,5,0,6,4,1,3,0,1,6,1,3,0,22,1,0,30,20,51,37,188,94,86,37,88,148,132,154,122,106,31,59,67,274,69,312,286,201,187,200,105,171,233,165,174
Red-breasted Nuthatch,1,0,2,1,3,1,0,0,0,0,1,1,0,1,2,0,2,4,0,2,2,4,14,15,40,54,68,43,60,39,45,44,54,70,46,70,106,55,88,75,52,33,58,27,66,64,50,44
Red-eyed Vireo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
Red-headed Woodpecker,0,2,0,1,0,1,2,8,1,2,5,2,2,3,5,4,1,0,2,1,2,4,6,2,5,8,1,0,4,7,7,5,5,4,8,5,3,3,8,13,6,9,7,9,2,6,6,7
Red-naped Sapsucker,0,3,2,4,1,2,16,3,5,14,9,8,7,4,7,5,5,7,19,5,26,8,25,5,39,29,34,33,28,34,46,57,47,74,64,78,101,95,104,61,60,61,74,60,72,74,78,60
Red-necked Grebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Red-tailed Hawk,5,2,6,12,4,11,5,8,10,3,10,11,11,31,28,30,21,23,28,21,19,36,39,44,76,96,117,98,132,106,136,146,158,136,125,147,110,151,192,202,155,189,185,169,138,151,178,209
