Species,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Baltimore Oriole,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,4,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,2,1,1,0,0,2,4,2,0
Band-tailed Pigeon,26,0,0,0,1,0,0,13,0,0,0,3,19,0,0,6,2,4,1,0,0,3,0,0,7,14,3,10,1,9,35,27,17,6,11,6,4,21,1,0,11,5,12,6,8,1,4,4
Bank Swallow,1,0,3,0,0,4,19,0,0,0,0,0,3,0,2,9,9,0,21,0,1,0,6,7,11,61,75,18,64,69,42,85,37,61,18,40,51,47,26,44,32,116,4,23,36,18,27,34
Barn Owl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,1,2,0,1,1,1,2,0,0,0,0
Barn Swallow,38,44,93,153,151,244,279,294,282,205,260,201,313,154,293,241,294,400,329,513,677,586,585,530,770,1042,908,788,873,890,1011,981,890,212,406,439,490,595,1009,723,785,601,770,961,632,623,808,588
Barrow's Goldeneye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
Bell's Vireo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Belted Kingfisher,0,1,0,2,5,4,1,2,4,4,3,4,4,3,6,5,2,3,2,3,1,8,9,2,4,10,2,7,10,13,19,10,13,18,13,15,15,14,20,4,13,7,2,3,6,7,3,4
Bewick's Wren,1,0,0,1,0,12,9,3,5,1,6,5,3,3,3,24,27,41,34,55,26,27,8,4,30,32,40,52,80,41,112,112,114,74,58,89,62,88,67,87,30,49,46,41,43,45,54,51
Black Phoebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2
Black Rosy-Finch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
Black Swift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,4
Black Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
Black Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8,4,19,0,3,1,1,0,10,4,0,1,0,0,6,0,0,5,7,0,0,0,0
Black-billed Cuckoo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black-billed Magpie,98,173,223,251,430,299,379,411,375,413,259,323,363,294,454,272,210,275,295,364,423,404,326,550,858,669,835,713,821,825,1129,1191,1232,947,1035,962,773,731,1057,958,678,694,728,746,819,871,1035,1499
Black-capped Chickadee,0,4,0,1,5,0,1,10,3,3,12,6,9,10,5,9,8,6,4,10,11,23,17,26,53,41,52,60,42,29,46,76,56,77,50,77,52,44,63,76,55,29,40,23,42,39,62,66
Black-chinned Hummingbird,0,0,0,0,1,0,3,2,3,0,2,0,3,2,2,1,2,6,1,4,4,6,16,6,13,19,14,6,28,14,22,21,37,17,30,18,7,22,16,31,13,32,29,15,25,25,31,26
Black-crowned Night-Heron,4,2,1,1,2,2,2,0,3,14,1,4,1,0,0,0,3,4,0,0,4,1,0,2,0,10,8,9,5,11,6,22,7,6,6,10,5,4,15,1,6,7,3,9,1,2,0,3
Black-crowned Night-Heron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Black-headed Grosbeak,5,16,5,12,14,17,12,19,27,19,7,9,21,11,19,5,9,10,15,11,21,23,39,46,52,90,119,106,156,195,213,253,207,269,257,260,182,247,262,256,297,290,243,179,153,230,225,243
Black-necked Stilt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,6,2,1,0,2,2,2,0,0,0,2,0,4,0,0,5,2
Black-necked Stilt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Black-throated Gray Warbler,0,0,0,0,0,4,6,3,7,0,2,4,3,0,11,4,5,2,6,0,10,4,18,9,7,3,6,21,21,39,71,78,66,60,41,61,60,77,53,63,65,75,82,64,38,54,64,57
Black-throated Sparrow,0,0,0,0,0,0,6,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,35,1,4,0,1,0,3,0,1,1,4,0,1,5,0,13,5,12,6,8
Blue Grosbeak,3,1,0,18,7,10,12,13,6,14,10,8,10,12,21,2,3,4,9,3,24,20,21,13,23,32,55,40,71,54,58,74,64,89,40,50,35,60,54,90,52,59,46,64,46,55,69,88
Blue Jay,0,0,0,0,1,1,0,3,0,1,1,0,2,1,2,0,0,2,2,3,0,6,1,3,3,6,3,6,9,10,15,19,13,15,18,15,3,5,13,12,6,13,14,9,7,21,13,9
Blue-gray Gnatcatcher,0,3,0,0,4,4,21,13,12,13,5,9,14,8,17,4,4,7,10,18,47,28,32,34,72,87,102,136,137,137,111,143,119,108,160,169,149,190,214,181,183,206,248,176,126,189,213,258
